Date,AAPL_Close,ABEV_Close,AMD_Close,AMRN_Close,BAC_Close,CHK_Close,CSCO_Close,ECA_Close,F_Close,FB_Close,FCX_Close,GE_Close,GM_Close,INTC_Close,LYG_Close,MSFT_Close,MU_Close,ORCL_Close,PBR_Close,PCG_Close,SIRI_Close,SWN_Close,T_Close,VALE_Close,X_Close,AAPL_Volume,ABEV_Volume,AMD_Volume,AMRN_Volume,BAC_Volume,CHK_Volume,CSCO_Volume,ECA_Volume,F_Volume,FB_Volume,FCX_Volume,GE_Volume,GM_Volume,INTC_Volume,LYG_Volume,MSFT_Volume,MU_Volume,ORCL_Volume,PBR_Volume,PCG_Volume,SIRI_Volume,SWN_Volume,T_Volume,VALE_Volume,X_Volume
2018-07-19,191.880005,4.86,16.709999,2.77,29.67,4.67,42.400002,12.96,10.82,208.08999599999999,15.8,13.73,39.310001,51.98,3.28,104.400002,56.220001,48.439999,10.77,42.259997999999996,7.14,5.36,31.27,12.88,36.93,20286800,33230600,41267800,7514800,59260600,27388900,24498800,5468800,40308800,11350400,38238700,74962800,6778700,15954600,8808600,40171600,39392100,16656500,21793600,5637200,12653100,12708400,51683400,22365200,9626400
2018-07-20,191.440002,4.93,16.5,2.8,30.129998999999998,4.55,42.009997999999996,12.96,10.56,209.940002,15.75,13.12,39.400002,51.91,3.3,106.269997,55.02,48.52,11.34,41.439999,7.11,5.32,31.1,12.93,37.130001,20676200,37297300,42879800,5938500,80432700,33836500,20732100,4796000,41531200,16163900,20405000,171245400,10949600,17380500,2879500,56004000,32588100,17232900,37383100,5348000,11547800,9487100,36644300,17615200,5901500
2018-07-23,191.610001,4.9,16.66,2.83,30.75,4.51,42.060001,12.78,10.47,210.91000400000001,15.83,12.99,39.27,52.310001,3.28,107.970001,54.290001000000004,48.669998,11.38,41.529999,7.12,5.29,31.0,13.17,37.439999,15989400,22886800,44940800,2056700,74080200,20109000,15656500,4094300,34942000,16732000,21358500,90332800,7687700,15945500,2819300,29707000,42781500,17990200,12231100,3493500,8480200,9681900,37293300,20975800,6676300
2018-07-24,193.0,4.99,16.190001000000002,2.74,30.83,4.52,42.389998999999996,12.93,10.57,214.669998,16.07,13.12,39.48,52.18,3.34,107.660004,53.169998,48.669998,11.68,42.490002000000004,6.98,5.29,31.68,13.77,37.869999,18697900,29389000,58201500,4014200,64761500,29480800,17493900,4975900,47303000,28468700,28247000,56666600,10760100,17788700,4023600,26316600,39011500,19885500,17006200,10716900,17354600,12540200,50969800,27399800,8054500
2018-07-25,194.820007,5.09,16.049999,2.72,31.07,4.41,43.16,13.24,10.52,217.5,15.86,13.11,37.650002,52.43,3.33,110.83000200000001,53.389998999999996,48.950001,11.95,42.990002000000004,7.14,5.25,30.25,14.0,38.259997999999996,16709900,29581400,82604900,1585700,57644100,28671800,20658300,4354100,92497700,58954200,35148000,53353300,42672300,19854800,2676100,30702100,39749200,16354900,15890300,7594300,16151900,12984000,96511700,23886600,5940700
2018-07-26,194.21000700000002,5.31,18.35,2.73,30.940001000000002,4.4,43.529999,13.16,9.89,176.259995,15.97,13.15,36.75,52.16,3.3,109.620003,53.759997999999996,48.869999,11.59,44.700001,7.2,5.28,30.35,14.11,37.240002000000004,19076000,56179200,192661100,2377600,46215000,28684000,23518700,4559400,103893000,169803700,13221200,54512000,16719400,28282500,3185700,31372100,28862500,15229900,17014400,8280100,13915700,15947800,44339500,32548100,10990500
2018-07-27,190.979996,5.28,18.940001000000002,2.63,31.059998999999998,4.41,42.57,13.11,9.93,174.889999,15.99,13.06,37.529999,47.68,3.31,107.68,53.959998999999996,48.630001,11.91,43.48,7.08,4.95,31.08,14.44,37.0,24024000,39341000,161903800,3247200,57198900,91931600,22050900,7281700,46171100,60073700,11573900,39330600,12629300,67816700,2724200,37005300,30109700,14856100,21371900,4530500,15998200,40256500,46030200,21934000,6024000
2018-07-30,189.91000400000001,5.25,19.42,2.45,31.309998999999998,4.67,42.169998,13.49,10.07,171.059998,16.08,13.16,37.669998,47.689999,3.31,105.370003,53.009997999999996,47.73,11.86,43.220001,6.99,5.01,32.0,14.56,36.810001,21029500,31614500,160823400,5894900,58721000,37550700,15300400,9949500,35877000,65280800,9135500,39565000,9460600,35696600,2903700,34668300,25747800,20167300,17549800,3664300,14549400,10928500,64043000,20101100,5953900
2018-07-31,190.28999299999998,5.14,18.33,2.55,30.879998999999998,4.72,42.290001000000004,13.44,10.04,172.580002,16.5,13.63,37.91,48.099998,3.32,106.08000200000001,52.790001000000004,47.68,11.73,43.080002,7.02,5.14,31.969998999999998,14.66,36.43,39373000,25830900,118403400,5562000,64066000,49561200,20900300,9407600,38026900,40356500,12271000,71693900,16479300,36581200,7958400,27655200,29301700,18808100,18841700,3413000,13971900,27354000,47549900,22202500,6958700
2018-08-01,201.5,5.16,18.48,2.75,31.25,4.45,41.860001000000004,14.02,9.9,171.649994,15.58,13.24,37.139998999999996,48.810001,3.36,106.279999,52.290001000000004,47.349998,11.72,42.509997999999996,6.86,5.0,31.9,14.06,35.810001,67935700,18750800,75495200,4402700,69070700,55170200,21650000,24903300,44126700,34042100,19388900,44528300,11179700,28060700,2940400,23628700,28200000,22933600,10734100,6080700,17919800,14584600,31356200,26481700,9773300
